Store,Arrival Time,Order Time,Pickup Time,Total Time
1501071,12:50:48 PM,26,68,108
1501071,12:51:43 PM,32,153,209
1501071,12:53:32 PM,29,23,128
1501071,12:56:44 PM,34,213,269
1501071,12:57:50 PM,40,72,280
1501071,12:59:06 PM,29,66,271
1501071,1:02:55 PM,24,162,213
1501071,1:03:06 PM,39,50,256
1501071,1:05:14 PM,46,42,171
1501071,1:13:18 PM,44,89,154
1501071,1:36:53 PM,55,271,351
1501071,1:39:29 PM,29,62,266
1501071,1:40:04 PM,45,73,309
1501071,1:47:03 PM,21,75,110
1501071,2:00:48 PM,26,120,163
1501071,2:01:14 PM,30,101,241
1501071,2:05:53 PM,35,177,230
1501071,2:09:58 PM,85,212,312
1501071,2:11:59 PM,40,37,233
1501071,2:13:07 PM,40,134,502
1501071,2:15:32 PM,27,174,223
1501071,2:25:45 PM,33,188,246
1501071,2:25:58 PM,45,94,332
1501071,2:33:22 PM,25,221,261
1501071,2:34:01 PM,75,71,306
1501071,2:40:43 PM,32,119,170
1501071,2:44:10 PM,28,36,79
1501071,2:44:20 PM,20,53,126
1501071,2:45:00 PM,28,168,256
1501071,2:50:59 PM,47,235,298
1501071,3:11:42 PM,55,370,449
1501071,3:15:42 PM,41,62,272
1501071,3:27:46 PM,39,314,838
1501071,3:27:53 PM,139,221,378
1501071,3:28:21 PM,23,134,486
1501071,3:36:56 PM,41,168,460
1501071,3:39:52 PM,62,196,484
1501071,4:11:25 PM,36,275,503
1501071,4:15:00 PM,33,28,319
1501071,4:16:18 PM,44,54,301
1501071,4:20:59 PM,56,186,270
1501071,4:21:29 PM,41,332,576
1501071,4:21:38 PM,24,29,598
1501071,4:25:05 PM,20,32,426
1501071,4:31:21 PM,35,281,340
1501071,4:39:52 PM,52,264,418
1501071,4:46:28 PM,48,213,286
1501071,4:50:46 PM,52,530,615
1501071,4:53:30 PM,92,54,508
1501071,4:53:31 PM,26,123,1270
1501071,5:04:39 PM,18,436,473
1501071,5:09:00 PM,45,43,385
1501071,5:10:42 PM,40,39,324
1501071,5:12:36 PM,49,114,325
1501071,5:12:41 PM,26,104,426
1501071,5:21:21 PM,41,273,337
1501071,5:32:48 PM,20,168,206
1501071,5:33:03 PM,68,156,349
1501071,5:37:17 PM,16,38,134
1501071,5:43:22 PM,54,308,379
1501071,5:43:49 PM,34,46,403
1501071,5:45:07 PM,49,40,366
1501071,5:51:14 PM,125,234,384
1501071,5:54:55 PM,29,184,350
1501071,5:59:35 PM,81,551,650
1501071,6:00:18 PM,72,35,644
1501071,6:04:57 PM,125,163,533
1501071,6:10:05 PM,43,131,362
1501071,6:19:38 PM,39,254,312
1501071,6:26:11 PM,36,255,309
1501071,6:28:54 PM,83,326,476
1501071,6:31:12 PM,145,211,551
1501071,6:35:29 PM,31,49,344
1501071,6:43:17 PM,39,138,196
1501071,6:43:56 PM,41,175,334
1501071,6:56:53 PM,212,386,615
1501071,7:05:47 PM,50,77,160
1501071,7:14:30 PM,10,78,100
1501071,7:16:37 PM,56,256,331
1501071,7:48:44 PM,67,284,368
1501071,7:52:14 PM,55,78,238
1501071,7:55:18 PM,21,142,198
1501071,8:04:03 PM,40,221,276
1501071,8:06:03 PM,63,172,329
1501071,8:07:27 PM,35,82,331
1501071,8:11:25 PM,33,268,363
1501071,8:11:57 PM,48,193,528
1501071,8:18:22 PM,60,331,475
1501071,8:22:31 PM,27,53,281
1501071,8:24:39 PM,15,87,247
1501071,8:24:53 PM,47,148,385
1501071,8:25:29 PM,95,394,747
1501071,8:36:27 PM,36,278,371
1501071,8:37:25 PM,31,58,374
1501071,8:42:18 PM,87,251,358
1501071,9:01:22 PM,14,103,137
1501071,9:05:36 PM,76,337,428
1501071,9:17:39 PM,40,119,178
1501071,9:18:03 PM,27,158,318
1501071,9:33:13 PM,32,282,338
1501071,9:34:01 PM,42,33,325
1501071,9:34:37 PM,20,168,459
1501071,9:45:54 PM,35,604,657
